,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1.4017154,-0.6038053,-0.5687759,0.2799713,0.3547035,-1.4305503,2.2314254,-2.2649504,2.1784626,1.5547597,0.6044054,-2.7990256,-0.2136019,-1.5464861,-2.5666401,-2.9739904,-3.3641033,2.6287237,-3.7376594,0.4099111
1,1.5495263,-2.3760359,-0.6407307,-0.5296547,-0.2799994,-1.5451589,1.2678068,-1.4179915,2.3361038,1.2358694,0.7374304,-2.7669665,0.2283954,-1.174385,-2.6043947,-3.3262371,-2.6263575,-0.4392178,-2.8153621,-0.5197583
2,1.7000184,-0.9233938,-0.3335456,-0.352369,0.484005,-0.7017032,2.2503213,-1.8357443,2.420708,2.2850262,0.0164122,-2.5524497,0.053274,-1.996087,-1.9987375,-1.0390965,-4.2099943,0.5772924,-3.4418734,-0.9847174
3,0.5931766,-2.2556899,-0.3428758,-0.1715053,0.3417073,0.4098302,1.7536987,-2.2570636,2.0686616,1.7518685,-0.671433,-1.6383028,-0.1294141,-0.0279876,-2.1771184,-3.8362448,-4.5227541,-0.8985124,-1.3182759,0.9659732
4,4.7214162,-2.084133,0.2504181,-1.0952076,-1.3870382,-1.7251732,1.7270281,-1.2436356,1.4474637,2.3862183,0.3732955,-2.4537495,-0.7109014,-1.4668737,-2.8545985,-2.3515079,-2.1824512,-0.0480819,-3.5398671,-1.2590808
5,3.9641772,-1.2540926,-1.3202608,-0.5498587,-0.3404118,-0.8480468,3.0347029,-1.4030592,1.5423382,2.9055847,0.3419566,-2.4965514,0.1029924,-0.904047,-3.2082252,-3.0297223,-1.031595,0.1578029,-3.6389415,0.2404312
6,-1.7988555,-1.6623106,-1.7228816,-0.0537568,-0.4853655,-0.3812214,3.5487761,-1.5084674,2.0013299,1.8606659,0.3659245,-3.1215897,-0.3071116,-0.4221856,-2.3314293,-1.7031176,-4.6915072,0.9910552,-1.2952059,-0.0894452
7,1.0679965,-2.2955753,-1.1304035,-0.8544073,-0.4264273,-0.8800131,1.5527042,-1.9850841,1.7052106,2.0019581,1.0308834,-4.3184131,0.4572341,0.6591509,-2.9994593,-2.1669719,-4.0829065,-1.387274,-2.0885254,0.4942996
8,1.2002057,-1.2888493,-1.4358483,0.5100149,-0.3691519,-0.7710043,1.5006121,-2.5602217,2.4523356,3.328693,1.0963609,-2.7697643,-0.451012,-2.5365413,-2.7181178,-3.6275522,-2.9710961,-0.2956982,-2.2344682,-1.209146
9,1.8604677,0.1416068,-0.1229027,0.0782818,0.016964,-1.2665398,2.4845931,-1.6288037,1.8018196,2.6195161,1.0925651,-2.3627604,-0.6806787,-1.5253644,-2.3416262,-3.129208,-2.146641,0.4807472,-3.7835338,-1.0335145
